frame,ms
798,4
799,6
800,6
801,7
802,9
803,7
804,6
805,5
806,5
807,6
808,5
809,4
810,25
811,5
812,6
813,7
814,5
815,7
816,6
817,6
818,5
819,7
820,5
821,6
822,6
823,5
824,4
825,6
826,5
827,4
828,7
829,5
830,5
831,5
832,4
833,6
834,4
835,5
836,4
837,6
838,9
839,6
840,17
841,5
842,6
843,9
844,5
845,5
846,6
847,5
848,9
849,5
850,5
851,5
852,5
853,4
854,6
855,6
856,7
857,8
858,7
859,10
860,7
861,7
862,8
863,7
864,6
865,5
866,5
867,4
868,4
869,8
870,18
871,7
872,6
873,7
874,7
875,11
876,5
877,5
878,5
879,5
880,8
881,6
882,5
883,5
884,5
885,8
886,7
887,6
888,6
889,8
890,19
891,8
892,6
893,6
894,7
895,7
896,6
897,6
898,6
899,5
900,6
901,9
902,5
903,6
904,4
905,7
906,11
907,6
908,5
909,5
910,19
911,5
912,4
913,5
914,4
915,5
916,4
917,4
918,4
919,6
920,9
921,6
922,7
923,7
924,6
925,8
926,7
927,6
928,5
929,4
930,19
931,6
932,4
933,4
934,5
935,5
936,4
937,3
938,4
939,4
940,9
941,6
942,5
943,6
944,4
945,7
946,5
947,7
948,6
949,4
950,19
951,6
952,5
953,6
954,5
955,5
956,6
957,6
958,8
959,7
960,9
961,10
962,7
963,7
964,8
965,7
966,8
967,8
968,7
969,7
970,24
971,9
972,5
973,7
974,8
975,7
976,9
977,7
978,7
979,7
980,7
981,7
982,9
983,9
984,7
985,7
986,6
987,9
988,8
989,6
990,8
991,8
992,9
993,9
994,8
995,7
996,7
997,8
998,6
999,7
1000,4
1001,6
1002,8
1003,4
1004,4
1005,4
1006,5
1007,5
1008,7
1009,6
1010,5
1011,6
1012,7
1013,7
1014,5
1015,6
1016,6
1017,7
1018,9
1019,6
1020,8
1021,7
1022,7
1023,7
1024,6
1025,4
1026,4
1027,5
1028,6
1029,6
1030,5
1031,4
1032,5
1033,6
1034,6
1035,4
1036,5
1037,4
1038,5
1039,6
1040,14
1041,5
1042,5
1043,5
1044,7
1045,4
1046,4
1047,4
1048,5
1049,5
1050,4
1051,4
1052,4
1053,5
1054,5
1055,6
1056,5
1057,4
1058,4
1059,4
1060,5
1061,5
1062,4
1063,6
1064,4
1065,5
1066,4
1067,4
1068,5
1069,5
1070,17
1071,5
1072,6
1073,6
1074,6
1075,7
1076,5
1077,5
1078,5
1079,5
1080,6
1081,9
1082,8
1083,7
1084,6
1085,6
1086,7
1087,5
1088,5
1089,7
1090,18
1091,11
1092,6
1093,8
1094,6
1095,5
1096,7
1097,5
1098,5
1099,6
1100,5
1101,7
1102,5
1103,5
1104,5
1105,6
1106,5
1107,8
1108,5
1109,6
1110,16
1111,4
1112,3
1113,6
1114,5
1115,8
1116,3
1117,4
1118,4
1119,4
1120,6
1121,6
1122,4
1123,4
1124,4
1125,6
1126,5
1127,6
1128,6
1129,5
1130,19
1131,4
1132,4
1133,6
1134,6
1135,5
1136,4
1137,5
1138,4
1139,4
1140,6
1141,4
1142,4
1143,4
